sentence,tag,,,,,,,,,
"Except as agreed upon by mutual consent, the Joint Venturers shall not be required to make any capital contribution to the Joint Venture.",['prohibition'],,,,,,,,,
The Joint Venturers shall have full and complete charge of all affairs of the Joint Venture.,['permission'],,,,,,,,,
"Neither Joint Venturer shall be entitled to compensation for services rendered to the Joint Venture as such, but each Joint Venturer shall be reimbursed for all direct expenses, including travel, office, and all other out-of-pocket expenses incurred in the operation of the affairs of the Joint Venture and the promotion of its businesses.","['prohibition', 'obligation']",,,,,,,,,
"It is agreed that either Joint Venturer shall, except as provided for below, have authority to execute instruments of any character relating to the affairs of the Joint Venture; provided, that without the written consent or approval of both of the Joint Venturers: (i) the Joint Venture shall incur no liability of any sort, nor any indebtedness for borrowed funds; (ii) no assets owned in the name of the Joint Venture be disposed of; and (iii) no commitment to purchase any item for the Joint Venture shall be made.","['permission', 'prohibition']",,,,,,,,,
The Joint Venturers shall maintain adequate books and records to be kept of all the Joint Venture activities and affairs conducted pursuant to the terms of this Agreement.,['obligation'],,,,,,,,,
"No Joint Venturer shall withdraw, transfer or have paid to him in any manner any part of his capital contribution or account, or any other funds or property of the Joint Venture without the consent of both Joint Venturers; provided, however, there may be distributed to the Joint Venturers, from time to time, so much of the gross income of the Joint Venture as shall not be needed to defray the necessary and expected costs and expenses of the Joint Venture business.",['prohibition'],,,,,,,,,
"Further, each Party elects under the authority of Section 761(a) of the Internal Revenue Code of 1986 (the ""Code""), as amended and all successor statutes, to be excluded from the application of all of the provisions of Subchapter K of Chapter 1 of the Subtitle A of the Code, and the Parties agree that the election out of Subchapter K of Chapter 1 of Subtitle A of the Code shall, if necessary, be manifested by their execution and filing of all appropriate documentation.",['obligation'],,,,,,,,,
"The Parties also declare that they are not making any agreement to undertake any business other than that set forth in this Agreement; and nothing in this Agreement is to be construed as a limitation of the powers or rights of either Party to carry on his separate business for his sole benefit; provided, however, the Parties shall cooperate with each other according to the terms and spirit of this Agreement in the performance of their joint venture business operation.",['obligation'],,,,,,,,,
"If any asset is not capable of being distributed on an undivided basis, the Parties shall agree on a price for such asset and it shall be distributed to one Party and a corresponding balance, in cash or property, shall be made of the Joint Venture assets so that each Party receives his proportionate share of all the Joint Venture assets",['obligation'],,,,,,,,,
"No Joint Venturer shall be authorized or empowered to mortgage, hypothecate, pledge, sell, or transfer, an interest in the Joint Venture, nor confer on any successor or assignee the right to become a Joint Venturer without the consent of the other Joint Venturer.",['prohibition'],,,,,,,,,
"Collectible Concepts Group will:     1) Obtain any licenses deemed by the Joint Venturers to add value in the marketing of the Products 2) Prepare any artwork necessary for the reproduction of licensed or branded images for the purpose of manufacturing the Products and / or packaging 3) In concert with PVSS, appoint appropriate sales agents and / or representatives and distributors to sell the Products into specific retail channels 4) Prepare marketing materials for sales agents', representatives' and distributors' use in presentations to prospective clients 5) Engage in any support activities required to promote and sell the Products 6) Provide fulfillment services through affiliates for final distribution of the Products",['obligation'],,,,,,,,,
"Pivotal Self Service Tech, Inc. will: 1) Provide the Products in accordance with the specifications and quantities and time frames designated by CCGI 2) Provision any additional Products deemed by the Joint Venturers to be salable through the channels established by CCGI 3) Negotiate such favorable pricing and terms with the suppliers of the Products so as to assure the viability of the Joint Venture offerings and the continuity of Product availability to the customers of the Joint Venture 4) Provide alternate fulfillment and distribution services of the Products as backup to those provided by CCGI",['obligation'],,,,,,,,,
