text,norm
"Client agrees to pay to Company the sum of $5,000 (the “Contract Price”) to design and develop a website for Client (the “Client Website”) in accordance with the accompanying Scope of Work, attached to this Agreement as Exhibit A.",1
Company will use its best efforts to deliver the Client Website in the time frame specified in the Scope of Work.,1
"All written content submitted by Client for use in the Client Website must be typewritten, proofread and delivered to Company in the body of an email message or as a Microsoft Word electronic document or plaint text electronic document.",1
It is Client’s sole responsibility to check the accuracy of the written content and correct any errors prior to submission for final publication.,1
Client further agrees that Company may use and display the graphics and other web design elements of Client’s website as examples of Company website design and development work.,1
"To maintain Company’s portfolio credentials, and the integrity of any applicable copyrights, Company shall be entitled to place an unobtrusive credit in the footer on each page of Client’s website.",1
"Upon the signing of this Agreement, Client agrees to pay to Company a total of $5,000.",1
"Client shall make a prepayment of $1,900 and pay the remaining $3,100 on completion of the Scope of Work.",1
"Client shall pay an additional surcharge for any services requiring work to be performed outside of normal business hours by reason of a rush deadline requested by Client or as a result of Client’s failure to meet scheduled times for delivery and/or review and approval of information, content and materials.",1
"Company, either directly or through its authorized service provider, shall provide customer service (the “Customer Service”) relating to Client Website consisting of replying to customer questions or complaints regarding website hosting services during the normal business hours set forth.",1
Section. Company at its sole discretion may at any time alter or cease providing the Customer Service which it has agreed to provide to Client relating to Client Website pursuant to this Agreement without any liability to Company.,1
"Except as agreed upon by mutual consent, the Joint Venturers shall not be required to make any capital contribution to the Joint Venture.",1
The Joint Venturers shall have full and complete charge of all affairs of the Joint Venture.,1
"Neither Joint Venturer shall be entitled to compensation for services rendered to the Joint Venture as such, but each Joint Venturer shall be reimbursed for all direct expenses, including travel, office, and all other out-of-pocket expenses incurred in the operation of the affairs of the Joint Venture and the promotion of its businesses.",1
"It is agreed that either Joint Venturer shall, except as provided for below, have authority to execute instruments of any character relating to the affairs of the Joint Venture; provided, that without the written consent or approval of both of the Joint Venturers: (i) the Joint Venture shall incur no liability of any sort, nor any indebtedness for borrowed funds; (ii) no assets owned in the name of the Joint Venture be disposed of; and (iii) no commitment to purchase any item for the Joint Venture shall be made.",1
The Joint Venturers shall maintain adequate books and records to be kept of all the Joint Venture activities and affairs conducted pursuant to the terms of this Agreement.,1
"No Joint Venturer shall withdraw, transfer or have paid to him in any manner any part of his capital contribution or account, or any other funds or property of the Joint Venture without the consent of both Joint Venturers; provided, however, there may be distributed to the Joint Venturers, from time to time, so much of the gross income of the Joint Venture as shall not be needed to defray the necessary and expected costs and expenses of the Joint Venture business.",1
"The Parties also declare that they are not making any agreement to undertake any business other than that set forth in this Agreement; and nothing in this Agreement is to be construed as a limitation of the powers or rights of either Party to carry on his separate business for his sole benefit; provided, however, the Parties shall cooperate with each other according to the terms and spirit of this Agreement in the performance of their joint venture business operation.",1
