tag,sentence
['obligation'],we will issue a certificate of completion for each manager trainee who completes the initial training program we require to our satisfaction each such person will be referred to a a certified manager
['obligation'],elephant talk bear the risk of and shall indemnify against high usage fraud and bed of it elephant talk customer
['obligation'],subject to the term and condition of this agreement aimmune shall be responsible for the development of the product a set forth herein aimmune itself or with or through it affiliate and sublicensees shall use commercially reasonable effort to perform the development activity for the product to i achieve the development milestone set forth in section and ii obtain regulatory approval for the product
['obligation'],ediets shall ensure that the ediets content complies with editorial guideline
['obligation'],auriemma will participate in one recording session annually during the service period of not more than two hour not including travel time to record a radio advertising spot at a date and location to be mutually agreed upon
['obligation'],if you are a corporation partnership llc or llp or transfer this agreement to a corporation partnership llc or llp then upon our request you must provide to u a list of holder of direct or indirect equity interest and their percentage interest a well a copy of your governing document and any other corporate document book or record
['obligation'],if aimmune it affiliate or it employee s or consultant s wish to make a publication specific to the product or which otherwise may reasonably contain xencor technology aimmune shall deliver to xencor a copy of the proposed written publication or an outline of an oral disclosure at least day prior to submission for publication or presentation and reasonably consider any comment of xencor thereon provided that subject to section through to the extent such publication describes or is specific to xencor technology aimmune must receive written approval not to be unreasonably withheld conditioned or delayed from xencor prior to submitting such publication to any third party
['obligation'],further bioamber will require that any unexpended fund received from bioamber be utilized for a project other than the bri project
['obligation'],additionally about shall use commercially reasonable effort to deliver filled application form per quarter
['obligation'],company consultant also agrees to promptly make full written disclosure to the company of any invention and to deliver and assign or cause to be assigned and irrevocably assigns fully to the company all right title and interest in and to the invention
['obligation'],client agrees to pay to company the sum of the contract price to design and develop a website for client the client website in accordance with the accompanying scope of work attached to this agreement a exhibit a
['obligation'],following the initial evaluation party will further discus and negotiate in good faith the element of the project plan including the alignment of and available resource in order to implement the
['obligation'],you must use and only use the email address and other identifier we designate in connection with the business of the franchised business
['obligation'],the sponsor agrees to abide by the term set forth in the term and condition of sponsorship agreement
['obligation'],all sale by company shall be in accordance with the term and condition of this agreement
['obligation'],aimmune shall be responsible for the preparation of all regulatory material necessary or desirable for obtaining and maintaining the regulatory approval for the product and aimmune shall submit such regulatory material a applicable to the applicable governmental authority
['obligation'],in the event that any of these event of default should occur and a party elect to exercise it right to terminate this agreement such party shall give notice of termination in writing to the other party which notice shall specify in reasonable detail the event s of default that give rise to such termination
